lc-chi-0-all,lc-chi-1-all,lc-chi-2-all,lc-chi-3-all,lc-Z-0-all,lc-Z-1-all,lc-Z-2-all,lc-Z-3-all,lc-I-0-all,lc-I-1-all,lc-I-2-all,lc-I-3-all,lc-T-0-all,lc-T-1-all,lc-T-2-all,lc-T-3-all,lc-S-0-all,lc-S-1-all,lc-S-2-all,lc-S-3-all,lc-alpha-0-all,lc-alpha-1-all,lc-alpha-2-all,lc-alpha-3-all,D_lc-chi-0-all,D_lc-chi-1-all,D_lc-chi-2-all,D_lc-chi-3-all,D_lc-Z-0-all,D_lc-Z-1-all,D_lc-Z-2-all,D_lc-Z-3-all,D_lc-I-0-all,D_lc-I-1-all,D_lc-I-2-all,D_lc-I-3-all,D_lc-T-0-all,D_lc-T-1-all,D_lc-T-2-all,D_lc-T-3-all,D_lc-S-0-all,D_lc-S-1-all,D_lc-S-2-all,D_lc-S-3-all,D_lc-alpha-0-all,D_lc-alpha-1-all,D_lc-alpha-2-all,D_lc-alpha-3-all,func-chi-0-all,func-chi-1-all,func-chi-2-all,func-chi-3-all,func-Z-0-all,func-Z-1-all,func-Z-2-all,func-Z-3-all,func-I-0-all,func-I-1-all,func-I-2-all,func-I-3-all,func-T-0-all,func-T-1-all,func-T-2-all,func-T-3-all,func-S-0-all,func-S-1-all,func-S-2-all,func-S-3-all,func-alpha-0-all,func-alpha-1-all,func-alpha-2-all,func-alpha-3-all,D_func-chi-0-all,D_func-chi-1-all,D_func-chi-2-all,D_func-chi-3-all,D_func-Z-0-all,D_func-Z-1-all,D_func-Z-2-all,D_func-Z-3-all,D_func-I-0-all,D_func-I-1-all,D_func-I-2-all,D_func-I-3-all,D_func-T-0-all,D_func-T-1-all,D_func-T-2-all,D_func-T-3-all,D_func-S-0-all,D_func-S-1-all,D_func-S-2-all,D_func-S-3-all,D_func-alpha-0-all,D_func-alpha-1-all,D_func-alpha-2-all,D_func-alpha-3-all,name
9.2416,16.9936,25.1712,7.752,49.0,91.0,105.0,42.0,1.0,2.0,3.0,1.0,4.0,10.0,12.0,8.0,0.5625,1.1400000000000001,1.4024999999999999,0.5775,54.760000000000005,138.38,142.872614,83.62,0.0,0.4900000000000002,0.8399999999999999,0.4900000000000002,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.0,-0.020000000000000018,0.38,-0.020000000000000018,0.0,-3.9000000000000004,2.8928900000000004,-3.9000000000000004,9.2416,20.570666666666664,31.930133333333334,25.58666666666667,49.0,109.66666666666667,142.33333333333334,60.666666666666664,1.0,2.3333333333333335,4.0,3.6666666666666665,5.666666666666667,15.333333333333334,23.0,15.666666666666666,0.5625,1.3225,1.9900000000000002,1.3175,54.76,147.01333333333332,245.732614,172.560304,0.0,0.3266666666666668,1.656666666666667,2.73,0.0,0.6666666666666666,7.666666666666667,17.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,2.0,0.0,-0.013333333333333345,0.3466666666666667,0.9933333333333335,0.0,-2.6,-3.60711,3.814373333333334,test_primitive
9.2416,16.9936,25.1712,7.752,49.0,91.0,105.0,42.0,1.0,2.0,3.0,1.0,4.0,10.0,12.0,8.0,0.5625,1.1400000000000001,1.4024999999999999,0.5775,54.760000000000005,138.38,142.872614,83.62,0.0,0.4900000000000002,0.8399999999999999,0.4900000000000002,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.0,-0.020000000000000018,0.38,-0.020000000000000018,0.0,-3.9000000000000004,2.8928900000000004,-3.9000000000000004,9.2416,20.570666666666664,31.930133333333334,25.58666666666667,49.0,109.66666666666667,142.33333333333334,60.666666666666664,1.0,2.3333333333333335,4.0,3.6666666666666665,5.666666666666667,15.333333333333334,23.0,15.666666666666666,0.5625,1.3225,1.9900000000000002,1.3175,54.76,147.01333333333332,245.732614,172.560304,0.0,0.3266666666666668,1.656666666666667,2.73,0.0,0.6666666666666666,7.666666666666667,17.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,2.0,0.0,-0.013333333333333345,0.3466666666666667,0.9933333333333335,0.0,-2.6,-3.60711,3.814373333333334,test_primitive
9.2416,16.9936,25.1712,7.752,49.0,91.0,105.0,42.0,1.0,2.0,3.0,1.0,4.0,10.0,12.0,8.0,0.5625,1.1400000000000001,1.4024999999999999,0.5775,54.760000000000005,138.38,142.872614,83.62,0.0,0.4900000000000002,0.8399999999999999,0.4900000000000002,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.0,-0.020000000000000018,0.38,-0.020000000000000018,0.0,-3.9000000000000004,2.8928900000000004,-3.9000000000000004,9.2416,20.570666666666664,31.930133333333334,25.58666666666667,49.0,109.66666666666667,142.33333333333334,60.666666666666664,1.0,2.3333333333333335,4.0,3.6666666666666665,5.666666666666667,15.333333333333334,23.0,15.666666666666666,0.5625,1.3225,1.99,1.3175,54.76,147.01333333333332,245.732614,172.560304,0.0,0.3266666666666668,1.656666666666667,2.73,0.0,0.6666666666666666,7.666666666666667,17.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,2.0,0.0,-0.013333333333333345,0.3466666666666667,0.9933333333333335,0.0,-2.6,-3.60711,3.814373333333334,test_primitive
9.2416,16.9936,25.1712,7.752,49.0,91.0,105.0,42.0,1.0,2.0,3.0,1.0,4.0,10.0,12.0,8.0,0.5625,1.1400000000000001,1.4024999999999999,0.5775,54.760000000000005,138.38,142.872614,83.62,0.0,0.4900000000000002,0.8399999999999999,0.4900000000000002,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.0,-0.020000000000000018,0.38,-0.020000000000000018,0.0,-3.9000000000000004,2.8928900000000004,-3.9000000000000004,9.2416,20.570666666666664,31.930133333333334,25.58666666666667,49.0,109.66666666666667,142.33333333333334,60.666666666666664,1.0,2.3333333333333335,4.0,3.6666666666666665,5.666666666666667,15.333333333333334,23.0,15.666666666666666,0.5625,1.3225,1.9900000000000002,1.3175,54.76,147.01333333333332,245.732614,172.560304,0.0,0.3266666666666668,1.656666666666667,2.73,0.0,0.6666666666666666,7.666666666666667,17.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,2.0,0.0,-0.013333333333333345,0.3466666666666667,0.9933333333333335,0.0,-2.6,-3.60711,3.814373333333334,test_primitive
9.2416,16.9936,25.1712,7.752,49.0,91.0,105.0,42.0,1.0,2.0,3.0,1.0,4.0,10.0,12.0,8.0,0.5625,1.1400000000000001,1.4024999999999999,0.5775,54.760000000000005,138.38,142.872614,83.62,0.0,0.4900000000000002,0.8399999999999999,0.4900000000000002,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.0,-0.020000000000000018,0.38,-0.020000000000000018,0.0,-3.9000000000000004,2.8928900000000004,-3.9000000000000004,9.2416,20.570666666666664,31.930133333333334,25.58666666666667,49.0,109.66666666666667,142.33333333333334,60.666666666666664,1.0,2.3333333333333335,4.0,3.6666666666666665,5.666666666666667,15.333333333333334,23.0,15.666666666666666,0.5625,1.3225,1.9900000000000002,1.3175,54.76,147.01333333333332,245.732614,172.560304,0.0,0.3266666666666668,1.656666666666667,2.73,0.0,0.6666666666666666,7.666666666666667,17.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,2.0,0.0,-0.013333333333333345,0.3466666666666667,0.9933333333333335,0.0,-2.6,-3.60711,3.814373333333334,test_primitive
9.2416,16.9936,25.1712,7.752,49.0,91.0,105.0,42.0,1.0,2.0,3.0,1.0,4.0,10.0,12.0,8.0,0.5625,1.1400000000000001,1.4024999999999999,0.5775,54.760000000000005,138.38,142.872614,83.62,0.0,0.4900000000000002,0.8399999999999999,0.4900000000000002,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.0,-0.020000000000000018,0.38,-0.020000000000000018,0.0,-3.9000000000000004,2.8928900000000004,-3.9000000000000004,9.2416,20.570666666666664,31.930133333333334,25.58666666666667,49.0,109.66666666666667,142.33333333333334,60.666666666666664,1.0,2.3333333333333335,4.0,3.6666666666666665,5.666666666666667,15.333333333333334,23.0,15.666666666666666,0.5625,1.3225,1.9900000000000002,1.3175,54.76,147.01333333333332,245.732614,172.560304,0.0,0.3266666666666668,1.656666666666667,2.73,0.0,0.6666666666666666,7.666666666666667,17.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,2.0,0.0,-0.013333333333333345,0.3466666666666667,0.9933333333333335,0.0,-2.6,-3.60711,3.814373333333334,test_primitive
9.2416,16.9936,25.1712,7.752,49.0,91.0,105.0,42.0,1.0,2.0,3.0,1.0,4.0,10.0,12.0,8.0,0.5625,1.1400000000000001,1.4024999999999999,0.5775,54.760000000000005,138.38,142.872614,83.62,0.0,0.4900000000000002,0.8399999999999999,0.4900000000000002,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.0,-0.020000000000000018,0.38,-0.020000000000000018,0.0,-3.9000000000000004,2.8928900000000004,-3.9000000000000004,9.2416,20.570666666666664,31.930133333333334,25.58666666666667,49.0,109.66666666666667,142.33333333333334,60.666666666666664,1.0,2.3333333333333335,4.0,3.6666666666666665,5.666666666666667,15.333333333333334,23.0,15.666666666666666,0.5625,1.3225,1.9900000000000002,1.3175,54.76,147.01333333333332,245.732614,172.560304,0.0,0.3266666666666668,1.656666666666667,2.73,0.0,0.6666666666666666,7.666666666666667,17.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,2.0,0.0,-0.013333333333333345,0.3466666666666667,0.9933333333333335,0.0,-2.6,-3.60711,3.814373333333334,test_primitive
9.2416,16.9936,25.1712,7.752,49.0,91.0,105.0,42.0,1.0,2.0,3.0,1.0,4.0,10.0,12.0,8.0,0.5625,1.1400000000000001,1.4024999999999999,0.5775,54.760000000000005,138.38,142.872614,83.62,0.0,0.4900000000000002,0.8399999999999999,0.4900000000000002,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.0,-0.020000000000000018,0.38,-0.020000000000000018,0.0,-3.9000000000000004,2.8928900000000004,-3.9000000000000004,9.2416,20.570666666666664,31.930133333333334,25.58666666666667,49.0,109.66666666666667,142.33333333333334,60.666666666666664,1.0,2.3333333333333335,4.0,3.6666666666666665,5.666666666666667,15.333333333333334,23.0,15.666666666666666,0.5625,1.3225,1.9900000000000002,1.3175,54.76,147.01333333333332,245.732614,172.560304,0.0,0.3266666666666668,1.656666666666667,2.73,0.0,0.6666666666666666,7.666666666666667,17.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,2.0,0.0,-0.013333333333333345,0.3466666666666667,0.9933333333333335,0.0,-2.6,-3.60711,3.814373333333334,test_primitive
9.2416,16.9936,25.1712,7.752,49.0,91.0,105.0,42.0,1.0,2.0,3.0,1.0,4.0,10.0,12.0,8.0,0.5625,1.1400000000000001,1.4024999999999999,0.5775,54.760000000000005,138.38,142.872614,83.62,0.0,0.4900000000000002,0.8399999999999999,0.4900000000000002,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.0,-0.020000000000000018,0.38,-0.020000000000000018,0.0,-3.9000000000000004,2.8928900000000004,-3.9000000000000004,9.2416,20.570666666666664,31.930133333333334,25.58666666666667,49.0,109.66666666666667,142.33333333333334,60.666666666666664,1.0,2.3333333333333335,4.0,3.6666666666666665,5.666666666666667,15.333333333333334,23.0,15.666666666666666,0.5625,1.3225,1.99,1.3175,54.76,147.01333333333332,245.732614,172.560304,0.0,0.3266666666666668,1.656666666666667,2.73,0.0,0.6666666666666666,7.666666666666667,17.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,2.0,0.0,-0.013333333333333345,0.3466666666666667,0.9933333333333335,0.0,-2.6,-3.60711,3.814373333333334,test_primitive
9.2416,16.9936,25.1712,7.752,49.0,91.0,105.0,42.0,1.0,2.0,3.0,1.0,4.0,10.0,12.0,8.0,0.5625,1.1400000000000001,1.4024999999999999,0.5775,54.760000000000005,138.38,142.872614,83.62,0.0,0.4900000000000002,0.8399999999999999,0.4900000000000002,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-2.0,0.0,-0.020000000000000018,0.38,-0.020000000000000018,0.0,-3.9000000000000004,2.8928900000000004,-3.9000000000000004,9.2416,20.570666666666664,31.930133333333334,25.58666666666667,49.0,109.66666666666667,142.33333333333334,60.666666666666664,1.0,2.3333333333333335,4.0,3.6666666666666665,5.666666666666667,15.333333333333334,23.0,15.666666666666666,0.5625,1.3225,1.9900000000000002,1.3175,54.76,147.01333333333332,245.732614,172.560304,0.0,0.3266666666666668,1.656666666666667,2.73,0.0,0.6666666666666666,7.666666666666667,17.0,0.0,0.0,0.0,0.0,0.0,-0.6666666666666666,0.0,2.0,0.0,-0.013333333333333345,0.3466666666666667,0.9933333333333335,0.0,-2.6,-3.60711,3.814373333333334,test_primitive
